cars2017
Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,Class
Ferrari,Gasoline,12,16,12,Luxury
Lamborghini,Gasoline,12,17,10,Luxury
Ford,Gasoline,6,18,11,Standard
Toyota,Gasoline,8,18,13,Standard
Aston Martin,Gasoline,12,19,12,Luxury
Dodge,Gasoline,10,19,12,Standard
Rolls-Royce,Gasoline,12,19,12,Luxury
Jeep,Gasoline,8,19,13,Standard
Land Rover,Gasoline,8,19,14,Standard
Bentley,Gasoline,12,20,12,Luxury
BMW,Gasoline,12,20,13,Luxury
Mercedes-Benz,Gasoline,12,20,13,Luxury
Maserati,Gasoline,8,20,14,Luxury
Nissan,Gasoline,8,20,14,Standard
Cadillac,Gasoline,8,21,14,Luxury
Ford,Gasoline,8,21,14,Standard
Lamborghini,Gasoline,10,21,14,Luxury
Porsche,Gasoline,8,21,14,Luxury
Ram,Gasoline,8,21,14,Standard
Cadillac,Gasoline,8,21,15,Luxury
Chevrolet,Gasoline,8,21,15,Standard
GMC,Gasoline,8,21,15,Standard
Bentley,Gasoline,8,22,13,Luxury
Audi,Gasoline,10,22,14,Standard
Jeep,Gasoline,8,22,14,Standard
Ford,Gasoline,8,22,15,Standard
Infiniti,Gasoline,8,22,15,Luxury
Ferrari,Gasoline,8,22,16,Luxury
Lexus,Gasoline,8,22,16,Luxury
Mercedes-Benz,Gasoline,8,22,16,Luxury
Jeep,Gasoline,6,22,17,Standard
Dodge,Gasoline,8,23,14,Standard
Roush Performance,Gasoline,8,23,14,Standard
BMW,Gasoline,8,23,15,Luxury
Chevrolet,Gasoline,8,23,15,Standard
Genesis,Gasoline,8,23,15,Standard
Jaguar,Gasoline,8,23,15,Luxury
Kia,Gasoline,8,23,15,Standard
McLaren Automotive,Gasoline,8,23,16,Luxury
Ford,Gasoline,6,23,17,Standard
GMC,Gasoline,6,23,17,Standard
Land Rover,Gasoline,6,23,17,Standard
Dodge,Gasoline,8,24,15,Standard
Lincoln,Gasoline,6,24,16,Luxury
Maserati,Gasoline,6,24,16,Luxury
Alfa Romeo,Gasoline,6,24,17,Luxury
Chevrolet,Gasoline,6,24,17,Standard
Genesis,Gasoline,6,24,17,Standard
Lotus,Gasoline,6,24,17,Luxury
Ram,Gasoline,6,24,17,Standard
Chrysler,Gasoline,8,25,16,Standard
Cadillac,Gasoline,6,25,17,Luxury
Hyundai,Gasoline,6,25,18,Standard
Kia,Gasoline,6,25,18,Standard
Nissan,Gasoline,6,25,18,Standard
Volkswagen,Gasoline,6,25,18,Standard
Dodge,Gasoline,4,25,19,Standard
Ford,Gasoline,4,25,19,Standard
Mercedes-Benz,Gasoline,6,25,19,Luxury
Toyota,Gasoline,6,25,20,Standard
Audi,Gasoline,8,26,17,Standard
Buick,Gasoline,6,26,18,Standard
